Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Hispanic
2008,0,Total,0,Total,5,Hispanic,36,Nassau,172707
2008,0,Total,0,Total,5,Hispanic,37,Niagara,3921
2008,0,Total,0,Total,5,Hispanic,38,Oneida,9472
2008,0,Total,0,Total,5,Hispanic,39,Onondaga,13977
2008,0,Total,0,Total,5,Hispanic,40,Ontario,3214
2008,0,Total,0,Total,5,Hispanic,41,Orange,62599
2008,0,Total,0,Total,5,Hispanic,42,Orleans,1863
2008,0,Total,0,Total,5,Hispanic,43,Oswego,2029
2008,0,Total,0,Total,5,Hispanic,44,Otsego,1404
2008,0,Total,0,Total,5,Hispanic,45,Putnam,10535
2008,0,Total,0,Total,5,Hispanic,46,Rensselaer,4548
2008,0,Total,0,Total,5,Hispanic,47,Rockland,40504
2008,0,Total,0,Total,5,Hispanic,48,St Lawrence,2157
2008,0,Total,0,Total,5,Hispanic,49,Saratoga,4512
2008,0,Total,0,Total,5,Hispanic,50,Schenectady,6904
2008,0,Total,0,Total,5,Hispanic,51,Schoharie,721
2008,0,Total,0,Total,5,Hispanic,52,Schuyler,283
2008,0,Total,0,Total,5,Hispanic,53,Seneca,1025
2008,0,Total,0,Total,5,Hispanic,54,Steuben,1102
2008,0,Total,0,Total,5,Hispanic,55,Suffolk,207326
2008,0,Total,0,Total,5,Hispanic,56,Sullivan,9075
2008,0,Total,0,Total,5,Hispanic,57,Tioga,715
2008,0,Total,0,Total,5,Hispanic,58,Tompkins,3958
2008,0,Total,0,Total,5,Hispanic,59,Ulster,13733
2008,0,Total,0,Total,5,Hispanic,60,Warren,1089
2008,0,Total,0,Total,5,Hispanic,61,Washington,1492
2008,0,Total,0,Total,5,Hispanic,62,Wayne,2978
2008,0,Total,0,Total,5,Hispanic,63,Westchester,186060
2008,0,Total,0,Total,5,Hispanic,64,Wyoming,1334
2008,0,Total,0,Total,5,Hispanic,65,Yates,394
2009,0,Total,0,Total,5,Hispanic,1,New York State,3274385
2009,0,Total,0,Total,5,Hispanic,2,New York City,2315041
2009,0,Total,0,Total,5,Hispanic,3,Bronx,726265
2009,0,Total,0,Total,5,Hispanic,4,Kings,502546
2009,0,Total,0,Total,5,Hispanic,5,New York,387678
2009,0,Total,0,Total,5,Hispanic,6,Queens,620205
2009,0,Total,0,Total,5,Hispanic,7,Richmond,78347
2009,0,Total,0,Total,5,Hispanic,8,Rest of State,959344
2009,0,Total,0,Total,5,Hispanic,9,Albany,12456
2009,0,Total,0,Total,5,Hispanic,10,Allegany,635
2009,0,Total,0,Total,5,Hispanic,11,Broome,5326
2009,0,Total,0,Total,5,Hispanic,12,Cattaraugus,1021
2009,0,Total,0,Total,5,Hispanic,13,Cayuga,1882
2009,0,Total,0,Total,5,Hispanic,14,Chautauqua,6982
2009,0,Total,0,Total,5,Hispanic,15,Chemung,2055
2009,0,Total,0,Total,5,Hispanic,16,Chenango,834
2009,0,Total,0,Total,5,Hispanic,17,Clinton,2289
2009,0,Total,0,Total,5,Hispanic,18,Columbia,2080
2009,0,Total,0,Total,5,Hispanic,19,Cortland,901
2009,0,Total,0,Total,5,Hispanic,20,Delaware,1367
2009,0,Total,0,Total,5,Hispanic,21,Dutchess,27924
2009,0,Total,0,Total,5,Hispanic,22,Erie,36186
2009,0,Total,0,Total,5,Hispanic,23,Essex,895
2009,0,Total,0,Total,5,Hispanic,24,Franklin,2095
2009,0,Total,0,Total,5,Hispanic,25,Fulton,1390
2009,0,Total,0,Total,5,Hispanic,26,Genesee,1313
2009,0,Total,0,Total,5,Hispanic,27,Greene,2620
2009,0,Total,0,Total,5,Hispanic,28,Hamilton,69
2009,0,Total,0,Total,5,Hispanic,29,Herkimer,966
2009,0,Total,0,Total,5,Hispanic,30,Jefferson,5755
2009,0,Total,0,Total,5,Hispanic,31,Lewis,300
2009,0,Total,0,Total,5,Hispanic,32,Livingston,1725
2009,0,Total,0,Total,5,Hispanic,33,Madison,1048
2009,0,Total,0,Total,5,Hispanic,34,Monroe,45382
2009,0,Total,0,Total,5,Hispanic,35,Montgomery,4645
2009,0,Total,0,Total,5,Hispanic,36,Nassau,175245
2009,0,Total,0,Total,5,Hispanic,37,Niagara,4034
2009,0,Total,0,Total,5,Hispanic,38,Oneida,9723
2009,0,Total,0,Total,5,Hispanic,39,Onondaga,14268
2009,0,Total,0,Total,5,Hispanic,40,Ontario,3457
2009,0,Total,0,Total,5,Hispanic,41,Orange,65156
2009,0,Total,0,Total,5,Hispanic,42,Orleans,1860
2009,0,Total,0,Total,5,Hispanic,43,Oswego,2077
2009,0,Total,0,Total,5,Hispanic,44,Otsego,1488
2009,0,Total,0,Total,5,Hispanic,45,Putnam,10990
2009,0,Total,0,Total,5,Hispanic,46,Rensselaer,4733
2009,0,Total,0,Total,5,Hispanic,47,Rockland,41434
2009,0,Total,0,Total,5,Hispanic,48,St Lawrence,2208
2009,0,Total,0,Total,5,Hispanic,49,Saratoga,4866
2009,0,Total,0,Total,5,Hispanic,50,Schenectady,7317
2009,0,Total,0,Total,5,Hispanic,51,Schoharie,720
2009,0,Total,0,Total,5,Hispanic,52,Schuyler,289
2009,0,Total,0,Total,5,Hispanic,53,Seneca,1050
