Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2008,0,Total,2,Female,0,Total,26,Genesee,29091
2008,0,Total,2,Female,0,Total,27,Greene,23662
2008,0,Total,2,Female,0,Total,28,Hamilton,2529
2008,0,Total,2,Female,0,Total,29,Herkimer,31872
2008,0,Total,2,Female,0,Total,30,Jefferson,57599
2008,0,Total,2,Female,0,Total,31,Lewis,13103
2008,0,Total,2,Female,0,Total,32,Livingston,31561
2008,0,Total,2,Female,0,Total,33,Madison,35482
2008,0,Total,2,Female,0,Total,34,Monroe,377041
2008,0,Total,2,Female,0,Total,35,Montgomery,25208
2008,0,Total,2,Female,0,Total,36,Nassau,694107
2008,0,Total,2,Female,0,Total,37,Niagara,110622
2008,0,Total,2,Female,0,Total,38,Oneida,115865
2008,0,Total,2,Female,0,Total,39,Onondaga,234639
2008,0,Total,2,Female,0,Total,40,Ontario,53145
2008,0,Total,2,Female,0,Total,41,Orange,188716
2008,0,Total,2,Female,0,Total,42,Orleans,21214
2008,0,Total,2,Female,0,Total,43,Oswego,61314
2008,0,Total,2,Female,0,Total,44,Otsego,32177
2008,0,Total,2,Female,0,Total,45,Putnam,49310
2008,0,Total,2,Female,0,Total,46,Rensselaer,78618
2008,0,Total,2,Female,0,Total,47,Rockland,151363
2008,0,Total,2,Female,0,Total,48,St Lawrence,54147
2008,0,Total,2,Female,0,Total,49,Saratoga,109624
2008,0,Total,2,Female,0,Total,50,Schenectady,77897
2008,0,Total,2,Female,0,Total,51,Schoharie,16061
2008,0,Total,2,Female,0,Total,52,Schuyler,9424
2008,0,Total,2,Female,0,Total,53,Seneca,16355
2008,0,Total,2,Female,0,Total,54,Steuben,49212
2008,0,Total,2,Female,0,Total,55,Suffolk,765371
2008,0,Total,2,Female,0,Total,56,Sullivan,37569
2008,0,Total,2,Female,0,Total,57,Tioga,25366
2008,0,Total,2,Female,0,Total,58,Tompkins,50504
2008,0,Total,2,Female,0,Total,59,Ulster,91037
2008,0,Total,2,Female,0,Total,60,Warren,33728
2008,0,Total,2,Female,0,Total,61,Washington,30446
2008,0,Total,2,Female,0,Total,62,Wayne,46324
2008,0,Total,2,Female,0,Total,63,Westchester,493164
2008,0,Total,2,Female,0,Total,64,Wyoming,18953
2008,0,Total,2,Female,0,Total,65,Yates,12629
2009,0,Total,2,Female,0,Total,1,New York State,10042290
2009,0,Total,2,Female,0,Total,2,New York City,4380638
